data_id,price,brand,category,product_name,units,quantity,unit_type,store_name,image_url,start_date,end_date,public_urls
10808529,10.00,Shine,Rengøringsmidler,Rengøringsmiddel,1,0,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_25_2883x150_4904x2428_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613758/2025-11-08/10808529.jpg
10808384,80.00,Julebryg,Øl,Øl 18 pk.,18,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_22_44x5205_4904x6883_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613759/2025-11-08/10808384.jpg
10808541,15.00,Savin,Vaskemiddel,Vaskemiddel-flydende,1,1,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_25_137x2415_2502x3938_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613760/2025-11-08/10808541.jpg
10808542,5.00,Tropical Sport,Energi- Sports- & Vitamindrikke,Energidrik,1,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_26_3282x799_4998x2640_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613760/2025-11-08/10808542.jpg
10808544,5.00,Orange Sport,Energi- Sports- & Vitamindrikke,Energidrik,1,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_26_3282x799_4998x2640_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613761/2025-11-08/10808544.jpg
10808422,50.00,,Jul,Julepynt,1,3,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_29_2487x2407_4817x4643_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613761/2025-11-08/10808422.jpg
10808149,8.36,ØGO,Pasta,Fuldkornspenne,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_16_2253x4356_4948x6877_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613762/2025-11-08/10808149.jpg
10808150,11.78,ØGO,Saucer,Passata,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_16_25x3669_2321x6840_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613762/2025-11-08/10808150.jpg
10807490,25.00,Dun-let,Skyllemiddel,Skyllemiddel,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_2_2407x4609_4831x6865_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613763/2025-11-08/10807490.jpg
10807250,5.00,Egelykke,Mellemmåltider,Drikkeyoghurt Skovbær,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_9_59x2876_2467x4873_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613764/2025-11-08/10807250.jpg
10807256,5.00,Egelykke,Mellemmåltider,Drikkeyoghurt Lemon & Lime,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_9_59x2876_2467x4873_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613764/2025-11-08/10807256.jpg
10808531,15.00,Hello Sensitive,Vaskemiddel,Vaskemiddel-flydende,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_25_2483x2446_4998x3969_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613765/2025-11-08/10808531.jpg
10807255,5.00,Egelykke,Mellemmåltider,Drikkeyoghurt Jordbær,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_9_59x2876_2467x4873_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613765/2025-11-08/10807255.jpg
10807343,15.00,Kohberg,Rugbrød i Skiver,Solsikkerugbrød,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_11_3336x4830_4944x6914_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613766/2025-11-08/10807343.jpg
