data_id,price,brand,category,product_name,units,quantity,unit_type,store_name,image_url,start_date,end_date
10764973,35.00,Sanex,"Sæbe, bad, dusch",Bodyshampoo,1,0,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_3176x2802_4998x4805_zoom.jpg,2025-10-18,2025-10-24
10764977,69.00,Biotex,Vaskemiddel,Vaskemiddel-flydende,1,1,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_1685x4805_3288x6852_zoom.jpg,2025-10-18,2025-10-24
10764921,119.00,,Spanske vine,Spansk Hvidvin,1,3,krt.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_24_2577x2602_4998x4811_zoom.jpg,2025-10-18,2025-10-24
10764922,119.00,,Spanske vine,Spansk Rødvin,1,3,krt.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_24_2577x2602_4998x4811_zoom.jpg,2025-10-18,2025-10-24
10764503,20.00,Bragagnolo,Pasta,Pasta,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_3_1248x5373_2421x6877_zoom.jpg,2025-10-18,2025-10-24
10764522,20.00,Rose,Kylling,Kyllingeunderlår,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_10_2377x2815_4909x4834_zoom.jpg,2025-10-18,2025-10-24
10764575,10.00,LavAzza,Iste & Iskaffe,Iskaffe,1,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_13_2467x780_4762x2620_zoom.jpg,2025-10-18,2025-10-24
10764672,20.00,Pastificio Di Martino,Pasta,Pasta,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_20_19x1204_2465x3095_zoom.jpg,2025-10-18,2025-10-24
10764742,10.00,Popz,Popcorn,Popcorn Smørsmag,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_21_31x2328_1591x4655_zoom.jpg,2025-10-18,2025-10-24
10764745,10.00,Popz,Popcorn,Popcorn Paprika Flavour,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_21_31x2328_1591x4655_zoom.jpg,2025-10-18,2025-10-24
10764744,10.00,Popz,Popcorn,Popcorn 50% mindre fedt,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_21_31x2328_1591x4655_zoom.jpg,2025-10-18,2025-10-24
10764604,35.00,Les Desserts,Is,Triple Chocolate is,1,0,bg.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_19_2440x4705_4923x6840_zoom.jpg,2025-10-18,2025-10-24
10764587,35.00,Les Desserts,Is,Baileys is,1,0,bg.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_19_2440x4705_4923x6840_zoom.jpg,2025-10-18,2025-10-24
10764605,35.00,Les Desserts,Is,Stracciatella is,1,0,bg.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_19_2440x4705_4923x6840_zoom.jpg,2025-10-18,2025-10-24
10764606,35.00,Les Desserts,Is,Jordbær og marengs is,1,0,bg.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_19_2440x4705_4923x6840_zoom.jpg,2025-10-18,2025-10-24
10764472,15.00,Thai Cube,Færdigretter Frost,Panang Curry Chicken,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_1_31x1460_2433x3726_zoom.jpg,2025-10-18,2025-10-24
10764475,15.00,Indian Cube,Færdigretter Frost,Butter Chicken,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_1_31x1460_2433x3726_zoom.jpg,2025-10-18,2025-10-24
10764506,15.00,ØGO,Boller & Morgenbrød,Surdejsboller,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_4_3232x19_4998x2540_zoom.jpg,2025-10-18,2025-10-24
10764470,15.00,Thai Cube,Færdigretter Frost,Sweet Chili Chicken Teriyaki,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_1_31x1460_2433x3726_zoom.jpg,2025-10-18,2025-10-24
10764473,15.00,Thai Cube,Færdigretter Frost,Red Curry Chicken,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_1_31x1460_2433x3726_zoom.jpg,2025-10-18,2025-10-24
10764474,15.00,Indian Cube,Færdigretter Frost,Chicken Tikka Masala,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_1_31x1460_2433x3726_zoom.jpg,2025-10-18,2025-10-24
10764556,35.00,Velsmag,Kylling,Kyllingeoverlår,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_8_2471x4843_4961x6846_zoom.jpg,2025-10-18,2025-10-24
10764890,15.00,Grape,Sodavand,Sodavand,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_23_31x686_2377x2839_zoom.jpg,2025-10-18,2025-10-24
10764909,15.00,Coca Cola,Sodavand,Sodavand,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_23_31x686_2377x2839_zoom.jpg,2025-10-18,2025-10-24
